des           g
K15VG5B 0.000000
K15VG5C 0.000000
K15VG5D 1.000000
K15VG5E 0.000000
K15VG5F -1.000000
K15VG5G 0.000000
K15VG5H 0.000000
K15VG5J 0.000000
K15VG5K -1.000000
K15VG5L 0.000000
K15VG5M 0.000000
K15VG5N -1.000000
K15VG5O 0.000000
K15VG5P 0.000000
K15VG5Q -1.000000
K15VG5R 0.000000
K15VG5S 0.000000
K15VG5T 0.000000
K15VG5U 0.000000
K15VI4Z 0.000000
K15VK2O 1.000000
K16S55Y 0.000000
K16S57F 0.000000
K16T94S 0.000000
K17O69F 0.000000
K17OG6W 1.000000
K17Y03K 0.000000
K19QB0Z 2.000000
K19QB2F 0.000000
K20K54E -1.000000
K20Q83H 0.000000
K20U74D 2.000000
K21L44D 0.000000
K21RN7M 0.000000
K21RN7T 0.000000
134340 1.000000
