,aau,lq,lp
37,30.370000000000058,-0.009441129237963787,0.015478622627766817
38,30.38000000000006,-0.009441113700844949,0.01547859706480082
39,30.39000000000006,-0.009441096760892172,0.015478569142491513
40,30.400000000000063,-0.009441078361667694,0.01547853875758401
41,30.410000000000064,-0.009441058447297878,0.015478505806797008
42,30.420000000000066,-0.009441036962483614,0.015478470186797497
43,30.430000000000067,-0.00944101385251153,0.015478431794174456
44,30.44000000000007,-0.009440989063266058,0.015478390525411704
45,30.45000000000007,-0.009440962541242352,0.015478346276859609
46,30.460000000000072,-0.009440934233560194,0.015478298944705786
47,30.470000000000073,-0.009440904087978897,0.015478248424944595
48,30.480000000000075,-0.009440872052913288,0.015478194613345386
49,30.490000000000077,-0.009440838077450837,0.015478137405419387
50,30.500000000000078,-0.009440802111370009,0.01547807669638526
51,30.51000000000008,-0.00944076410515991,0.015478012381132994
52,30.52000000000008,-0.009440724010041314,0.015477944354186321
53,30.530000000000083,-0.009440681777989183,0.015477872509663357
54,30.540000000000084,-0.009440637361756706,0.015477796741235339
55,30.550000000000086,-0.009440590714901062,0.01547771694208352
56,30.560000000000088,-0.009440541791810912,0.015477633004853834
57,30.57000000000009,-0.009440490547735828,0.015477544821609499
58,30.58000000000009,-0.009440436938817697,0.01547745228378105
59,30.590000000000092,-0.009440380922124321,0.01547735528211396
60,30.600000000000094,-0.009440322455685275,0.015477253706613526
61,30.610000000000095,-0.009440261498530255,0.015477147446486768
62,30.620000000000097,-0.009440198010730011,0.015477036390081347
63,30.6300000000001,-0.009440131953440088,0.0154769204248211
64,30.6400000000001,-0.009440063288947576,0.015476799437138032
65,30.6500000000001,-0.009439991980721023,0.015476673312400541
66,30.660000000000103,-0.009439917993463803,0.015476541934837579
67,30.670000000000105,-0.009439841293171113,0.015476405187458454
68,30.680000000000106,-0.009439761847190928,0.01547626295196799
69,30.690000000000108,-0.009439679624289144,0.015476115108676667
70,30.70000000000011,-0.009439594594719219,0.01547596153640543
71,30.71000000000011,-0.009439506730296698,0.015475802112384772
72,30.720000000000113,-0.009439416004478889,0.015475636712147559
73,30.730000000000114,-0.009439322392450163,0.015475465209415286
74,30.740000000000116,-0.00943922587121324,0.015475287475977186
75,30.750000000000117,-0.009439126419686973,0.015475103381561621
76,30.76000000000012,-0.009439024018811058,0.015474912793699223
77,30.77000000000012,-0.00943891865165829,0.015474715577577123
78,30.780000000000122,-0.0094388103035549,0.015474511595883507
79,30.790000000000123,-0.00943869896220963,0.015474300708641872
80,30.800000000000125,-0.00943858461785227,0.015474082773033963
81,30.810000000000127,-0.00943846726338239,0.015473857643210664
82,30.820000000000128,-0.009438346894529138,0.015473625170089704
83,30.83000000000013,-0.009438223510023002,0.01547338520113917
84,30.84000000000013,-0.00943809711178056,0.015473137580145594
85,30.850000000000133,-0.009437967705103294,0.015472882146965334
86,30.860000000000134,-0.009437835298891714,0.015472618737257774
87,30.870000000000136,-0.009437699905876111,0.015472347182198807
88,30.880000000000138,-0.0094375615428654,0.0154720673081728
89,30.89000000000014,-0.009437420231015663,0.015471778936441173
90,30.90000000000014,-0.009437275996120228,0.015471481882785512
91,30.910000000000142,-0.009437128868923148,0.015471175957122732
92,30.920000000000144,-0.009436978885458396,0.015470860963089935
93,30.930000000000145,-0.009436826087417055,0.015470536697595865
94,30.940000000000147,-0.009436670522545263,0.01547020295033596
95,30.95000000000015,-0.009436512245075857,0.015469859503267442
