a q p i_deg W_deg
38.00266755585195 -0.029422779214927523 0.016926891879164435 1.9452422710006854 150.08823033298378
38.042680893631214 -0.02970408442634588 0.016815525850200012 1.9560843775279628 150.48573592857696
38.08269423141047 -0.029994583223239973 0.016699980654767542 1.9673635988768239 150.8924025947053
38.12270756918973 -0.03029477281793726 0.016580054666050684 1.9791076359394602 151.3085116646595
38.162720906968985 -0.030605159813013462 0.01645554061137357 1.991345232102779 151.73432047629325
38.20273424474825 -0.03092626031680461 0.016326225736583044 2.004106210943854 152.17006028969467
38.24274758252751 -0.03125866342779921 0.01619186730795124 2.0174240880777665 152.61601729032216
38.28276092030677 -0.031603275553670304 0.016052096557138087 2.031346206452329 153.07284221581534
38.32277425808603 -0.03195989337494993 0.015906976730960802 2.04587534944837 153.53969729822649
38.362787595865285 -0.03233009320871194 0.015755873058851788 2.0610881892883626 154.0179942536344
38.40280093364455 -0.03271435041607735 0.015598579079675932 2.0770173919560206 154.50765613857413
38.442814271423806 -0.03311348715940114 0.015434750320002496 2.093711035609649 155.00898624177822
38.48282760920307 -0.033528389636869944 0.015264014681236109 2.1112211553211195 155.5222941028726
38.52284094698233 -0.03396001445494754 0.015085969733378514 2.1296041469699634 156.04789519929142
38.562854284761585 -0.034409396152208144 0.014900179521397404 2.14892123648535 156.58611101900584
38.60286762254084 -0.03487765490588486 0.014706171282355128 2.169238975467041 157.13726819629625
38.642880960320106 -0.03536600613018732 0.01450343136722131 2.1906298389288836 157.70169861003214
38.68289429809937 -0.03587577027238306 0.014291401058746923 2.213172855120763 158.2797382408182
38.72290763587863 -0.03640836260908789 0.014069480542268333 2.236953358177261 158.87170274051434
38.762920973657884 -0.03696541951192908 0.013836977059048329 2.2620689170279022 159.47800968927598
38.80293431143714 -0.03754858710482357 0.013593191029006697 2.2886200925854956 160.09893116657165
38.842947649216406 -0.03815976534400292 0.013337315972752332 2.3167217447360544 160.73483970803093
38.88296098699566 -0.03880101464185769 0.013068476326462498 2.346499187226282 161.38608394697346
38.92297432477493 -0.039474601492626535 0.01278570838290946 2.378090656310457 162.0530122161046
38.962987662554184 -0.04018302496923761 0.012487948986909173 2.411648981068096 162.7359713392188
39.00300100033344 -0.0409290474117675 0.012174022440802212 2.4473435172131115 163.43530528438143
39.043014338112705 -0.041715730102375885 0.011842625280647636 2.4853623942432215 164.15135367005558
39.08302767589196 -0.04254647489861116 0.01149230850822541 2.5259151368808204 164.8844501160204
39.12304101367123 -0.04342507301964953 0.011121456768877935 2.5692357357255315 165.6349204315253
39.163054351450484 -0.04435576246177038 0.010728263844936239 2.615586259720895 166.40308063396355
39.20306768922974 -0.04534329587817317 0.010310703681290903 2.6652611255661656 167.1892347925059
39.243081027009 -0.04639302158331901 0.009866495809998144 2.7185921867550134 167.99367296549013
39.28309436478826 -0.04751097847117722 0.00939306482182782 2.775954716544629 168.81666764648926
39.323107702567526 -0.04870401353504688 0.008887490212475105 2.837774770568506 169.65847253799691
39.36312104034678 -0.049979920251214574 0.008346447297806484 2.904537897050133 170.51931874977774
39.40313437812604 -0.0513475448324066 0.007766161538179613 2.97679642789732 171.39937219706232
39.4431477159053 -0.05281724391875775 0.007142214426490896 3.0551957677696238 172.2988890122624
39.48316105368456 -0.05440084246090279 0.006469559831388021 3.140474811901769 173.21801558574495
39.52317439146382 -0.05611190016320324 0.005742410572302126 3.2334828270698126 174.156775315318
39.56318772924308 -0.05796650378829465 0.00495390073282799 3.335225779549981 175.1152893386668
39.60320106702234 -0.059983438044063246 0.004096012886885037 3.446880069813777 176.09358010954793
39.6432144048016 -0.06218493813836373 0.0031592559506364373 3.569838845533587 177.0916343439924
39.68322774258086 -0.06459745314597388 0.0021323404364666128 3.7057604674519258 178.10937188159818
39.72324108036012 -0.06725278279755983 0.0010016917440643092 3.8566396106653267 179.14667522428542
39.76325441813938 -0.07018943676863422 -0.00024912923247807917 4.024893302792943 180.20336384347598
39.80326775591864 -0.0734545215166998 -0.001640231881468772 4.213479924221666 181.27919625636684
39.8432810936979 -0.07710628107932456 -0.003196480613661793 4.42605977239039 182.37386680856162
39.883294431477154 -0.08121759560444564 -0.004948988486851942 4.667216487170685 183.48700274421728
39.92330776925642 -0.08588088916625458 -0.006937212494158098 4.942768231873668 184.6181621254786
39.96332110703568 -0.0912151423852857 -0.009211947468003991 5.260213360477895 185.76682980670176
40.00333444481494 -0.09737618501869144 -0.01183972027791868 5.629386190088485 186.93241852803496
40.043347782594196 -0.10457214682661592 -0.014909386272973935 6.063444792565424 188.11426612545054
40.08336112037345 -0.1130874121575837 -0.018542356204394365 6.58040869772708 189.3116355454618
40.12337445815272 -0.1233210641309292 -0.022909009191277446 7.2056396685398445 190.5237151551335
40.163387795931975 -0.13585119516230826 -0.028256148799285043 7.976019840741305 191.74961981688426
40.20340113371124 -0.15154709856988358 -0.03495490122440934 8.947309672234292 192.98833269255329
40.243414471490496 -0.17178352727966362 -0.04359218773551883 10.208355711016539 194.23894834880866
40.28342780926975 -0.19886282313823456 -0.05515094551325883 11.909634445949191 195.50037556135678
40.32344114704902 -0.23695622736364966 -0.0714120010756423 14.328629958378954 196.77134247544075
40.363454484828274 -0.29450007666216527 -0.09597707666705807 18.043856813909738 198.0507014851536
40.40346782260754 -0.391494307936838 -0.13738474041944962 24.513045730072395 199.33719531081263
40.443481160386796 -0.5896580570659803 -0.2219847301204277 39.054446376694386 200.62952373677018
40.60353451150384 0.5209465431410942 0.2521731553924223 35.36419202515765 25.830103416084764
40.643547849283095 0.3482292867325782 0.1784368314735189 23.034430798856153 27.131141882940497
40.68356118706235 0.26012993454982813 0.14082637588309202 17.20571895092968 28.429756699314915
40.72357452484161 0.20670117260792392 0.11801779229732996 13.769715221675895 29.724573940040408
40.763587862620874 0.17084258888668052 0.10271040593536182 11.498393392351558 31.014245823187398
40.80360120040013 0.14511173865943572 0.09172681611644375 9.885038427666254 32.29745623419777
40.843614538179395 0.12574945058483644 0.08346212133758091 8.68063038645159 33.57292896464041
40.88362787595865 0.11065213379299998 0.07701823672717464 7.748055181002414 34.83943472604252
40.92364121373791 0.09855075485959292 0.0718533748426384 7.005450331433927 36.09579747712846
40.96365455151717 0.08863437129351262 0.06762132086563058 6.400871982023165 37.34089223221749
41.00366788929643 0.0803603506536157 0.0640904096049408 5.899736888414438 38.573681009009654
41.043681227075695 0.07335212497524819 0.061099873636101046 5.478133001231939 39.79316978086754
41.08369456485495 0.06734000399069806 0.05853457484912998 5.118982214147721 40.99845034142061
41.12370790263421 0.062126173444291145 0.05631006085493334 4.8097827075916335 42.18860347585666
41.163721240413466 0.057561194253441805 0.054362532702045205 4.541108337076945 43.36299289842618
41.20373457819273 0.05353116236729599 0.05264336196574516 4.305781620381995 44.52092057003323
41.243747915971994 0.04994770207405982 0.05111481866682701 4.098237346000821 45.661648669808336
41.28376125375125 0.04674041910133956 0.049746850165578005 3.9140485427855713 46.784692415477835
41.32377459153051 0.043853116929290635 0.04851546506825169 3.749682575579647 47.88957940765792
41.363787929309765 0.0412402612482651 0.047401223981573155 3.6022785472239955 48.97590787752665
41.40380126708903 0.038864565775957 0.046388208826575 3.4694948263686007 50.04334428971842
41.44381460486829 0.036695205612421594 0.04546326006704096 3.3493963477487583 51.0916205548446
41.48382794264755 0.03470647460337448 0.04461540350017444 3.240370016605759 52.12053152642167
41.52384128042681 0.032876769224533316 0.043835416439602704 3.141060695917853 53.12992928242915
