mpc_des,classification_gmv08method_vvl24,res_p_largernumber,res_q_smallernumber,Secure_or_Insecure,aau_bary,e_bary,ideg_bary,wdeg_bary,Wdeg_bary,Mdeg_bary,aau_helio,e_helio,ideg_helio,wdeg_helio,Wdeg_helio,Mdeg_helio,g2026feb12
445473,scattering,0,0,I,153.4292178039485,0.7761113254280513,4.510596786215288,313.7290627531973,117.3938618452179,359.1101244452352,158.6510401477914,0.7833721977278598,4.511399282012781,313.4753533167994,117.3611351272351,359.1757712154922,-99999.0
447178,centaur,0,0,S,28.8522784920906,0.5194637492052342,35.45674947566295,326.5906355753594,198.1698016379239,340.582104962771,28.85599629869997,0.5191053412844796,35.45597428810986,326.5185258196734,198.0639938482639,340.6115721078004,-99999.0
449097,centaur,0,0,S,20.25626406221069,0.376946489182129,15.41156403130638,5.908424533996536,43.85604441108895,36.99211882720667,20.26948209330048,0.3783414271141133,15.41218276426065,5.876033239129659,43.75192612210494,36.93703073250587,-99999.0
450265,resonant,3,2,S,39.18547178194356,0.2554998095286385,4.14554082733884,100.5328021132348,10.37750557843614,2.182018450688218,39.18479258263873,0.2556886251326416,4.148028230365074,100.059528536338,10.23007849548429,2.527494541382171,0.0
451657,detached,0,0,S,76.54389057794174,0.5104952273553176,23.68354557182253,293.6555828426928,177.3167588484804,340.6887059785669,77.35493329189754,0.5137579455708468,23.64157362675683,293.0331401935164,177.178512054345,341.1873211433469,-99999.0
455171,classical,m,0,I,45.9762126399764,0.1198779132305033,2.087273310054123,132.5516697511944,113.7905246880344,84.45609527785071,46.33058427803484,0.1181008794952929,2.086587983583257,136.2659184643603,113.772489508526,80.9492539750319,-99999.0
455206,classical,m,0,S,46.66941863711455,0.124205390596324,2.813595655292978,338.6176281930907,154.9020873938976,64.88674908964668,46.38832138327301,0.1218210467415761,2.817484735281762,336.1517856447418,155.024895355003,67.34318450391035,-99999.0
455209,classical,m,0,S,45.09269613353365,0.08684392622868455,1.708414598304811,344.7104525971422,184.5282752845897,67.13190956934788,44.94372349875438,0.08357636825811467,1.710613467444798,343.1945465371049,184.6831600490909,68.79336450007298,-99999.0
455502,resonant,3,2,S,39.23155115834246,0.2230766513514189,12.04452502115821,145.473094461045,136.0305665679313,118.6957738263328,39.45358016562994,0.2209877908135445,12.04907231657545,147.0709775556598,135.910540420995,116.9300645954808,1.0
456826,resonant,3,2,S,39.32875846634467,0.2763286372059553,28.53925977862215,312.7617694541107,96.3513845558727,23.69699202792498,39.5141302654265,0.2804138964719339,28.53179120677976,312.6527315279819,96.3364666334029,23.53464914379939,-1.0
459865,centaur,0,0,S,13.40803342564705,0.3715197467986989,22.52508595391593,288.4659214138357,266.5976904704398,13.25815654210695,13.35209159273864,0.3694376254708668,22.54835135582804,288.3393515954973,266.6269002891161,13.39555393939675,-99999.0
459870,jc,0,0,S,10.90522603628872,0.402921715622846,165.5386440346035,279.7251554130561,262.5431035636336,55.49452526166669,10.92271202971854,0.4012361864936498,165.5462193678841,280.1830285261666,262.6051386667502,55.28877122799378,-99999.0
459971,centaur,0,0,S,13.30055694619592,0.5646102482306763,3.941394660042224,195.3668532390299,94.32673838748188,70.1750736254545,13.36466012554995,0.5640502672526801,3.938300304262815,195.7477331321677,94.32723782347624,69.63979728977539,-99999.0
463368,centaur,0,0,S,29.23483906036992,0.31049953195701,15.06634025610945,265.1077487766975,252.5736838335895,328.3579285075598,29.24905003380067,0.3095966412457568,15.05643543626568,264.7351294808622,252.5282075805654,328.5416286461658,-99999.0
463663,centaur,0,0,S,18.65716752836987,0.6258692881400653,13.93183660533303,232.0829388381158,314.5732780739716,27.15905817130883,18.65546983145935,0.6253828562006597,13.92787401222066,232.1320494042873,314.6234234544776,27.17547356862346,-99999.0
468422,classical,m,0,S,43.93196079291314,0.02901759659930335,0.7568812746465089,6.70479145674827,212.6970004688281,355.4500536699138,43.69503298310811,0.02410626827643885,0.7585051066085158,10.75767902725082,212.7286825221717,351.5181758615086,-99999.0
468861,scattering,0,0,S,174.5712418701075,0.9499203015621746,125.3637833783488,153.1117498355532,276.0697411254171,359.7928252933601,190.1025695338668,0.9540053483181146,125.3316918081213,152.9090447271546,276.0304419249054,359.819360879468,-99999.0
469306,resonant,7,4,SH,43.65956097002734,0.1442297661671297,25.47523196043721,144.8583714147874,119.013963633619,255.6437845365126,43.48461837392077,0.1437768809039048,25.50291616217838,146.536419919737,119.0339594745431,253.6754723794945,-99999.0
469333,detached,0,0,I,54.31903583811093,0.3420485408981189,18.41153791339124,147.5062516449567,127.3495013141605,33.86297339809695,54.82654501501886,0.3449486068161765,18.38950856954484,148.7610016467163,127.3149803685364,32.86280568810269,-99999.0
469361,classical,m,0,S,43.1580491561559,0.1197180567991742,17.13577004126159,314.4739625555965,188.1647233478784,61.12528154149056,42.92784852031586,0.117061439612725,17.18387543657278,312.4006322050112,188.2553742306634,63.24147446076289,-99999.0
469362,resonant,3,2,S,39.55580087292228,0.2825384917582665,17.51825981240526,52.918107132032,223.005974641985,357.9487428995312,39.61319441420987,0.2836893626080902,17.53825065296054,53.36395159048152,223.102573358885,357.6758994567701,1.0
469372,resonant,3,2,S,39.3765040002324,0.1111437267854397,22.35176465714702,42.18863422644065,164.1841356341874,163.6920898455841,39.6535610048473,0.1038752864565257,22.28984509759859,43.28738536205657,164.0969727604117,162.6728253110329,0.0
469420,resonant,5,3,S,42.20061885237849,0.2171215323184687,2.607500755452926,181.2096352016127,304.9292488574822,10.66584614135989,42.04057295888573,0.2148294657288364,2.611121010858872,180.4011645882526,304.9330581556962,11.23220024068912,-99999.0
469421,resonant,3,2,S,39.39079328753,0.110063019345734,18.0994090123069,110.4282121678432,106.6789557999112,291.5285869387822,39.25791032299436,0.1071479773042421,18.10643245933182,111.5845928508237,106.6779244697047,290.100784127659,0.0
469438,classical,m,0,S,44.01087794357994,0.09091853738140594,2.181918405144728,130.5047504298813,59.13833873246128,356.02818637909,43.73016480974299,0.08528128361276356,2.185062708837903,130.691245723447,59.02854173341412,355.916768444953,-99999.0
469442,scattering,0,0,S,34.42776051798856,0.5897295585816205,7.70989830333136,275.1843806739016,32.97834327752601,349.1573721205496,34.54747423454612,0.591493707210982,7.71725491331457,275.2255735522457,33.0541198586489,349.2085054643973,-99999.0
469505,resonant,2,1,S,47.93052656799631,0.2520101672471832,3.384599525094021,53.86937899046155,169.2274511715862,14.24058288022186,47.75267791646459,0.2487908932475994,3.386180214065297,54.08524964310786,169.3666820598531,14.14283359466227,-99999.0
469506,resonant,3,2,S,39.50377554165794,0.2148214921352587,1.911078169580767,170.3896091636157,91.73089899550506,356.0227634716122,39.44952951013441,0.2140060876275191,1.912393934897614,171.1300622707341,91.72470647955109,355.5598359846564,0.0
469509,classical,m,0,S,44.02730285198474,0.06705407822178254,1.04159958406045,45.59809937214609,233.9257099874359,309.8783670219746,43.82081114589496,0.06605099155165017,1.043435891039349,49.67839457456506,233.9323854093671,306.0022426353962,-99999.0
469514,classical,m,0,S,44.38486037238897,0.06896253140467881,2.414549305803857,330.9894941890723,104.6731342356848,281.3268059244076,44.76412370058262,0.07142900714164166,2.414408986178557,324.6228781245566,104.6774951890236,287.8196655880161,-99999.0
469584,resonant,5,3,S,42.1642802603647,0.1532916523930372,2.385612473997534,18.65570998393979,97.18407433568413,22.3260377349032,42.00143788008374,0.1513893918305207,2.385116523112966,17.32276048606334,97.16105172024518,23.43664969802079,-99999.0
469610,classical,m,0,S,43.27293595097546,0.02764432783592317,1.484851501863531,196.156396285777,76.64152946284624,340.3113574187661,43.18571312657144,0.02701523315385608,1.48756098073645,203.2256846444589,76.63370619948623,333.5785693806919,-99999.0
469615,classical,m,0,S,40.54622368451739,0.0577236021886169,26.11944885986771,19.71153631860588,320.9343864723493,2.749532593068529,40.86546924103402,0.06482628672247093,26.07010184849655,21.41875167545442,320.8975922521952,1.245010220088163,-99999.0
469704,resonant,3,2,S,39.43274812984533,0.1501771055113087,1.773805458460088,212.4223890511766,24.40608375526077,344.2201129257846,39.22040377074246,0.1463578255194303,1.779252960185859,213.4647289188163,24.43402780848121,343.2922802827429,0.0
469705,classical,m,0,S,44.00746224201531,0.08972577335746877,2.866721078327778,76.51210414414253,118.0205719264003,344.2701541858154,43.73534998798429,0.08429004872895339,2.868069563128939,77.0924487980662,118.0528175888582,343.5707245601733,-99999.0
469707,resonant,3,2,S,39.42914586126896,0.2355724350432311,14.68638729790556,349.2483565515217,217.0790048279372,29.16883399404665,39.32214590202056,0.2327925734465753,14.71354259592361,349.3360776810866,217.1690294927897,29.23965401900024,0.0
469708,resonant,3,2,S,39.32896860293773,0.3246117622972022,18.25094272454705,85.90183046238752,205.4028579241105,347.0649780688526,39.37405035923025,0.325980785597772,18.26925655330448,86.19034387416706,205.5192697484276,346.9174703871144,0.0
469750,scattering,0,0,S,174.4566799927591,0.8323313050359042,6.17574290039741,227.8665580957456,192.492380804811,357.2690470335301,184.1936585118011,0.8408705578255873,6.161447368688657,227.4711888425339,192.4870430566005,357.5049331234513,-99999.0
469987,resonant,3,2,S,39.43849903826467,0.3024333064420558,12.450244986115,102.2109627619216,222.5631765707984,319.0018484634739,39.44444686098748,0.3044169865181648,12.473320304501,102.5129670779089,222.6414335377415,318.9191699234375,1.0
470027,classical,m,0,S,41.90209454146522,0.1414288063561516,17.17109189715507,86.1848077658948,310.3419613061527,337.7543747009214,42.31996991053873,0.1490532185653158,17.15388709531249,84.86420635377928,310.2755326589919,339.1575724035199,-99999.0
470083,resonant,2,1,S,47.77849536972354,0.3690903592955981,13.59171505362018,289.9773926917205,101.3733252719751,17.50232976929613,48.23730569912126,0.3752564658409637,13.58949586132953,290.1039942272959,101.3623143276818,17.15454887620177,-99999.0
470308,resonant,3,2,S,39.42660917948565,0.02878409603278319,18.15606064659473,0.1111928988118293,64.58966560758162,191.5359500329181,39.37534027834488,0.0306881910932053,18.19066491478547,355.507931525715,64.62174650815592,196.4433331957067,2.0
