Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
123509  classical  m   0 S    44.381 0.045   1.969 
126154  resonant   5   3 S    42.321 0.140  11.079 
126155  resonant   3   2 S    39.416 0.293   5.977 
126619  detached   0   0 I    71.265 0.467  15.977 
126719  classical  m   0 S    47.015 0.192   0.836 
127546  scattering 0   0 I    66.535 0.685  77.930 
127871  resonant   5   4 S    34.939 0.085   2.372 
129746  resonant   3   2 S    39.291 0.268   1.475 
129772  resonant   7   4 I    43.668 0.034   3.302 
130391  resonant   2   1 Sh   47.423 0.280  23.456 
131318  resonant   3   2 S    39.343 0.174  13.698 
131695  resonant   11  8 I    37.220 0.052   4.262 
131696  resonant   7   3 S    52.915 0.322   0.518 
131697  resonant   5   4 S    34.924 0.075   2.857 
133067  resonant   3   2 S    39.554 0.257   8.884 
134210  detached   0   0 S    62.012 0.393   6.482 
134340  resonant   3   2 S    39.489 0.249  17.140 
134568  resonant   7   4 I    43.633 0.149  10.205 
134860  classical  m   0 S    42.837 0.021   1.115 
135024  resonant   7   4 S    43.665 0.111   2.153 
135182  classical  i   0 S    37.070 0.019   1.838 
135571  resonant   5   2 S    55.300 0.352  14.684 
135742  resonant   7   4 I    43.641 0.125   5.449 
136108  resonant   12  7 S    43.103 0.195  28.205 
136120  resonant   3   1 I    62.145 0.478  20.104 
136199  detached   0   0 S    67.835 0.438  43.993 
136204  centaur    0   0 S    20.141 0.258  11.166 
136472  classical  m   0 S    45.499 0.160  29.002 
137294  classical  m   0 S    44.955 0.106   1.351 
137295  resonant   2   1 S    47.551 0.292  12.688 
138537  classical  m   0 S    46.518 0.139   4.887 
138628  scattering 0   0 I    44.729 0.267  15.709 
139775  resonant   3   2 S    39.350 0.193   6.490 
143685  resonant   4   3 S    36.453 0.236   5.904 
143707  resonant   5   2 S    55.528 0.415   7.537 
143751  resonant   5   3 S    42.173 0.253   7.652 
143991  classical  m   0 I    44.570 0.136  19.392 
144897  classical  i   0 S    38.999 0.042   9.532 
145451  resonant   21  4 I    90.570 0.612  28.758 
145452  classical  m   0 S    41.510 0.023  19.272 
145453  classical  m   0 S    43.223 0.139  28.507 
145474  scattering 0   0 S    92.249 0.642  16.275 
145480  detached   0   0 IH   75.663 0.389  26.480 
145486  centaur    0   0 S    17.628 0.531   3.784 
