i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
4.38,121.36,0.77,-0.03974450103754331,0.06521427911066534
10.0,157.24,7.19,-0.160126795559692,0.06717960219315389
2.08,87.11,2.37,0.0018299378730586742,0.036248714231080024
4.02,30.79,5.62,0.06022337725046229,0.0358860933484414
6.86,327.87,10.32,0.10115015779798969,-0.0635252015131728
5.19,152.08,2.56,-0.07992956648851005,0.04235625599283664
3.19,143.92,1.22,-0.04497385183494061,0.032771456243513415
0.99,239.45,4.16,-0.008782185136571788,-0.014879484088520467
10.0,149.02,6.83,-0.14887674950581395,0.08938346079465109
2.92,27.77,4.95,0.045074364840117245,0.02373486343983587
2.75,147.66,1.54,-0.04053617282719773,0.025665531534222186
6.93,126.49,3.28,-0.07175238306892945,0.09700318352798586
2.61,345.62,5.88,0.044110651768481814,-0.011309279285917753
2.4,94.78,1.98,-0.0034894980834675737,0.04173001052448114
8.29,145.87,5.05,-0.1193502908529307,0.08089739184598521
5.66,106.63,2.47,-0.02822551217645888,0.0944998418694029
2.96,287.14,6.53,0.01521833358398205,-0.049345361955199056
3.33,98.25,1.63,-0.008335020002724484,0.05748563229524815
3.82,153.05,1.83,-0.0593871820702371,0.030194029909479093
3.81,102.7,1.44,-0.014608351271085004,0.0648223667858601
5.0,67.8,4.29,0.03293099441552308,0.08069493850732372
2.28,307.05,5.93,0.02396972763401361,-0.03175121541073394
4.62,109.47,1.46,-0.026847335788893725,0.07594088070539706
7.6,114.89,4.05,-0.055663738614086196,0.11997208411687679
2.88,94.11,1.88,-0.0036010871326484263,0.05011510431808952
10.0,141.94,6.6,-0.1367246020248081,0.10705172958996803
2.62,51.08,3.85,0.02871766999956992,0.035564788814370106
4.82,120.51,1.21,-0.04265889135553927,0.07239153171020847
6.38,121.28,2.75,-0.0576968738811875,0.09496934980350176
1.62,128.09,2.03,-0.017440070790873605,0.022250143287668864
8.79,138.21,5.31,-0.11393646433141866,0.10183517925833169
4.78,145.27,1.86,-0.06848441225489978,0.04747392562035937
7.36,83.76,5.19,0.013923974729710733,0.12734427792370553
2.3,30.44,4.46,0.03460003350707252,0.020332202369292812
5.7,94.87,3.12,-0.008431772628090315,0.09896119390694147
3.17,51.1,4.11,0.03472555015769406,0.043035846073787874
5.46,135.75,2.0,-0.06815671125226426,0.06639532856581828
5.88,11.92,8.04,0.10023627998125462,0.021159642819637264
9.37,148.09,6.19,-0.13820552922929666,0.0860588360904791
4.69,68.99,4.01,0.029315120508487558,0.07632867876114663
4.59,22.19,6.46,0.07409802562425565,0.030223758885644204
3.91,29.34,5.6,0.05944258484129084,0.033412211643947747
6.93,344.66,10.01,0.11635799096486933,-0.031919273632930435
7.5,345.32,10.54,0.12626533071445756,-0.03307798535332099
3.51,145.04,1.26,-0.0501752408515616,0.03508090409433479
4.58,180.12,3.9,-0.07985080285033115,-0.000167239374943314
3.14,75.2,2.89,0.013992273809132887,0.052958630778389096
3.89,64.14,3.81,0.029590528262985145,0.06104771695919023
1.52,67.08,3.12,0.010330389129600517,0.024431660948622043
7.59,133.65,4.02,-0.09117072272364644,0.09557154824842427
6.08,138.64,2.68,-0.07949837642431778,0.06998866932736235
2.99,121.27,0.69,-0.027075639660125356,0.044584175327544454
5.56,65.13,4.87,0.04074732961813965,0.08790309690819925
6.17,16.79,8.08,0.10289697557070321,0.031046833618126025
6.58,60.42,5.99,0.056566208727110996,0.0996555153371037
5.45,153.69,2.86,-0.08513830770926406,0.04209646317899927
2.81,59.72,3.55,0.02471923297634555,0.04233581551244829
2.41,21.63,4.81,0.039089021355941486,0.015500118646810999
1.8,145.37,2.06,-0.02584599549790524,0.017849938447694464
5.8,323.61,9.33,0.08135005206269556,-0.05995451800927675
7.87,149.6,4.8,-0.11810045841581242,0.0692891274077047
2.09,94.83,2.12,-0.0030706996272219966,0.036339786666749446
7.97,133.11,4.39,-0.09475670559617864,0.10122380626656224
4.1,16.6,6.28,0.06851761492057712,0.020425988145033016
7.28,118.32,3.68,-0.060114624968245205,0.11155167295302162
4.96,148.96,2.21,-0.07407978999611664,0.0445820472060155
7.99,156.49,5.24,-0.12746191722099812,0.05544847317884815
10.0,144.71,6.68,-0.1417383164027612,0.1003191869502368
4.46,82.97,2.99,0.009517349446808307,0.0771784900443266
6.95,152.21,4.07,-0.10704692110739947,0.056415564273796036
4.22,119.71,0.67,-0.03647013614355499,0.06391303325971553
4.16,77.47,3.17,0.015738026059184135,0.07081415856645056
5.06,1.86,7.68,0.08815243709370953,0.002862709200865636
4.82,23.07,6.61,0.07730587722500912,0.03292592020742377
6.14,120.49,2.52,-0.05426931653908796,0.09216779812678869
1.33,28.88,4.01,0.020324141542224262,0.011210274276025655
6.57,129.66,2.95,-0.07302442519750188,0.08808339563169673
4.27,62.45,4.13,0.03443784893662779,0.0660137758489895
10.0,148.57,6.82,-0.1481701489540519,0.09054996723345557
7.62,357.95,10.23,0.13251751496067127,-0.004743401521573022
3.01,79.08,2.65,0.00994744707105901,0.05155942751419073
6.14,123.76,2.49,-0.059438326302052404,0.08892214063758781
8.9,3.5,11.24,0.15442182024278875,0.009444843134456057
8.81,144.8,5.52,-0.12515253356889172,0.08828540072466688
10.0,146.04,6.73,-0.14402861916662282,0.09700230135415205
6.4,111.88,2.96,-0.041540445211050346,0.10343942313685875
2.1,91.09,2.23,-0.0006970711214718157,0.03663707793509955
10.0,157.49,7.2,-0.16041839665000213,0.06648027995795738
5.07,119.55,1.47,-0.04358393357731196,0.07687772912771995
0.81,42.62,3.63,0.010402640003429834,0.009572421628343153
0.34,180.08,3.47,-0.0059340788453179204,-8.285542498265272e-06
9.05,356.03,11.69,0.1569188837418229,-0.010890275998725404
4.76,137.79,1.45,-0.06146382098768272,0.05575154012059783
2.94,23.76,5.11,0.04694287106451677,0.020665137702021052
4.38,125.63,0.73,-0.04448981341136179,0.06207402085630715
1.87,164.69,2.52,-0.03147380216981408,0.00861616255081151
3.94,3.72,6.61,0.06856701547771751,0.004458065026668681
3.69,170.13,2.82,-0.06340558704342653,0.011031839211891747
3.74,130.91,0.4,-0.04271667268071218,0.049296087792443176
1.68,112.86,2.04,-0.011389218275697464,0.027014654349676634
2.89,345.45,6.14,0.0488016426216454,-0.012666409042632054
5.93,140.22,2.6,-0.07939702246378347,0.06610416528373975
5.55,185.95,4.95,-0.09619333705961781,-0.010025463042282556
6.81,356.31,9.52,0.11833144511357827,-0.007631412430732592
2.63,119.62,1.06,-0.022678962601559625,0.03988976653249215
2.11,146.85,1.87,-0.030825673535123436,0.02013335777594837
10.0,352.19,12.76,0.17203744122911052,-0.02359678839134994
7.63,143.07,4.32,-0.10613667111088058,0.07977660234612899
6.51,59.14,6.01,0.0581556413751513,0.09732512537562125
2.11,340.42,5.5,0.034689097069084227,-0.012338589415326291
6.95,34.85,7.85,0.09930132799443955,0.06914481520291563
3.59,4.97,6.26,0.06238090493219063,0.005424710933253859
4.69,45.01,5.41,0.057806184063122004,0.05782636575049415
3.15,157.71,1.98,-0.05084407892585774,0.02084231058667213
8.37,141.5,4.98,-0.11392037730973355,0.09061635975251278
2.44,160.81,2.2,-0.04020753194810916,0.013993875962278806
4.54,105.3,1.64,-0.02088688608517689,0.0763495966131596
7.08,82.83,5.0,0.015383928296474574,0.12229124867408109
3.26,13.52,5.71,0.05529116076685718,0.01329464765718354
3.44,97.39,1.69,-0.007717770479242381,0.05950485242183571
4.49,34.85,5.78,0.06424473394823932,0.04473444964260932
1.12,334.93,4.65,0.01770498772103251,-0.00828232055493234
2.77,63.18,3.37,0.021804519887184987,0.04312819833121421
10.0,345.84,12.98,0.16837211577261982,-0.042479644976121306
3.24,39.19,4.69,0.04380496069454475,0.035713725072374976
3.33,33.1,5.01,0.04866035732566971,0.03172128786427872
8.43,149.16,5.32,-0.1258719348840571,0.0751538845595557
5.35,106.34,2.21,-0.02623169029160756,0.08947346060501724
3.2,162.95,2.28,-0.05336810795005435,0.016367207261263485
6.97,0.43,9.52,0.12134621335582828,0.0009107102101635403
9.2,133.69,5.62,-0.11043892469667661,0.11560812293949557
3.15,137.23,0.89,-0.04033813131508752,0.03731430602888002
0.74,75.37,3.22,0.003262038783237445,0.012496332551313594
7.58,355.28,10.29,0.13146303821784233,-0.01085442994975831
10.0,125.34,6.35,-0.10044283875069825,0.1416507174381656
3.48,25.47,5.44,0.054800711230484814,0.02610338568401663
2.46,315.65,6.08,0.030692726949100545,-0.03000411359366777
4.12,108.63,1.19,-0.022951477203813492,0.06808099387852125
