a e inc Omega omega Manom LibCen LibAmp KozCen KozAmp
39.47734510175104 0.372923721756224 49.06205513298758 200.5668069278827 289.4752404184693 20.002866060553156 172.5 57.0 262.5 30.0
39.39417262377547 0.332648993334097 24.174941719424165 64.70921161161425 231.66198597856283 11.270039519735212 171.0 69.0 262.5 75.0
39.40024330702997 0.301183420984814 25.161567235897202 65.62554477896562 129.4356418844179 339.5293030778472 173.25 59.25 82.5 60.0
39.49878767547105 0.249972500483217 38.27145124062759 261.8490731400818 38.200147791141625 131.52610198093575 172.5 64.5 82.5 90.0
39.48266956061001 0.24907287071546 18.04062928866464 296.53329457624903 55.440000012717654 109.05364335105554 172.5 60.0 82.5 45.0
39.46607542097638 0.288144070657571 23.90933642283221 169.3378380304777 48.12239899999677 97.73087275066486 171.75 96.75 82.5 75.0
39.45073645628598 0.285589781236746 23.786479068798428 80.34609042166784 237.7212679679721 130.76968432853735 172.5 31.5 262.5 60.0
39.388134305810816 0.353487865598082 57.58868905114174 78.18185178670603 268.3653956951622 235.9329915593509 171.75 48.75 262.5 30.0
39.30573544159396 0.248364736350048 14.605387142110557 1.686663666511804 84.73941083587502 192.26606883843866 174.0 112.5 82.5 60.0
39.387583951201066 0.351456319198117 40.243049115326876 338.92319608649876 252.56073671418181 197.62758367699735 172.5 45.0 262.5 30.0
39.37215366460567 0.246793984607656 21.302677093648107 70.19133283475041 260.0509707116466 30.451003283195092 172.5 105.0 262.5 60.0
39.48747720993278 0.280079851343917 22.726645205027257 235.92639854715105 89.74311147036825 14.999864031424057 172.5 82.5 82.5 45.0
39.346418863575515 0.22077912745373 33.290933249691285 136.36999592175988 233.65056741673118 239.63468434253608 172.5 105.0 262.5 75.0
39.395001539820086 0.353910836480629 38.99585418614102 236.08824217308685 264.8631614758525 136.64011101766357 172.5 58.5 262.5 45.0
39.39437036307597 0.262468959914927 27.7115299404544 53.39690060545252 284.88186970729527 84.63875580077165 172.5 105.0 262.5 30.0
39.40659754818288 0.269365476445255 34.46836914125105 51.287971446259945 255.02114052304313 149.9102019647887 171.75 53.25 262.5 30.0
39.43481389607151 0.343581653495518 45.190216625214255 101.90584905127652 91.38341748230462 204.47720898415895 172.5 45.0 82.5 30.0
39.39648000401153 0.255990149746683 27.31172212106572 135.08582654109213 240.94434341180158 77.85466807886715 172.5 60.0 262.5 60.0
39.42170187047588 0.272554662379595 22.355014680665704 142.59819427668688 81.9235699761006 83.64812325817375 172.5 60.0 82.5 60.0
39.454488795367475 0.38386274680891 46.21706178917786 187.0914251504121 100.72878027833376 154.62263685633127 172.5 51.0 82.5 30.0
39.36730007454524 0.252045159847459 24.17851809970492 302.3028755360774 251.75373992224684 236.84511491523605 171.75 86.25 262.5 30.0
39.529169558721875 0.232592088513003 19.3592648273463 78.77326693932514 258.64168032311846 242.21112934322332 173.25 86.25 262.5 60.0
39.317376781927166 0.299424995673934 44.7157275109107 239.23512398415295 94.70545070681929 239.63835122155677 173.25 60.75 82.5 15.0
39.53173647204215 0.324346234426681 49.51746603893882 151.9218469004453 275.85984077946387 294.80095535725843 172.5 90.0 262.5 15.0
39.55754060471874 0.272170941358862 23.11118666957929 7.27421238267487 251.34115225982964 298.4765168564885 172.5 105.0 270.0 37.5
39.246137340667175 0.265214157354192 30.67167982836068 186.3105682035052 67.1535190768135 307.06354066231677 172.5 105.0 82.5 45.0
39.53396438647719 0.258713742194532 37.55281217493615 208.05713967639258 279.9284329869906 284.3837733095762 172.5 120.0 262.5 15.0
