a e inc Omega omega Manom
39.44291062406471 0.242883050998131 17.60763020017609 88.16870748097777 228.56201649664828 7.282212212415788
39.325196514561725 0.265827128260677 18.60966265957543 102.93260249320095 234.32700638302867 90.41234117191611
39.32242137110659 0.219363983454115 36.21238789389508 333.4287275300465 275.9825853106883 281.36046565136144
39.20670030336263 0.257701256032865 38.879930712170044 85.76642754675892 39.61179549317737 231.12857985131248
39.49538648791737 0.230374384024999 13.94936724837617 129.0252380804951 97.7522961910043 164.69468213824362
39.43127242822028 0.314364389918112 27.44110755409943 295.1462389594725 147.85562659326445 272.3184511992733
39.4578745986872 0.232117263473758 15.346360558594583 164.7092360886958 63.63549658491 63.39381922875141
39.571528559008776 0.244991725139196 15.556336057476626 27.486240302176924 107.34995621294054 123.79072698732153
39.504784698841576 0.327652614416695 27.347740252255587 196.35705392522073 130.48890290338184 358.29315042689495
39.30184701658156 0.232314449469506 18.591958979658852 157.85954770018228 249.1859297170876 295.80914880758985
39.33291912285803 0.333966505559798 29.660827023667245 243.20180084872027 310.36987211695174 313.98510735482654
39.48127527645093 0.312855804242356 22.07340982567113 330.7868383581535 337.8013831831429 245.44934549069256
39.43841012008001 0.235438552782797 19.341572013627516 89.41778798457354 262.95197121082055 240.87515413060027
39.507181318413515 0.245382834274035 15.075780047474424 12.798678980252909 223.4272511698026 198.62992200295875
39.25780657141442 0.268383042987293 29.67809545428481 249.0807709283881 208.38345547183715 150.5155763511953
39.446658136173134 0.218346735897621 16.389918029275645 247.63909146503028 309.5198197307808 229.662506223719
39.5519095872288 0.258901704894055 27.86288239540565 113.42449016535396 177.38463019280184 283.05719508122576
39.36193876527945 0.337417351975671 22.793854330664708 121.99803992120754 112.39295174004123 66.8232845055805
39.50147986777087 0.261459827291926 14.46882703790732 20.739715535177417 183.536566822494 63.88119575579199
39.30750105636599 0.226386822553966 33.39796000828354 122.8579890735875 12.520136435623314 113.77440068829176
39.47047591300786 0.34912422067448 38.59585840502209 199.2223964406019 308.32321863243516 354.72312710380396
39.385842443737005 0.252151354738147 13.73369195007128 163.28681501460636 233.40080278267897 104.40610379789504
39.542179194503795 0.276178306545404 32.713731687690725 280.15046360707777 27.260835996167238 137.61995571995607
39.20424539569902 0.20930066169231 21.12271638482274 292.8887182271089 192.11616916911714 248.1432030650899
39.252559668971415 0.240699434318485 16.645605854351803 247.2239766810298 324.7161008731002 201.7403843211174
39.46220687235721 0.305369618358759 29.38871145725369 73.92450056750015 192.0319202506587 26.645219851647617
39.45105170970779 0.276565436158577 43.9498794123492 162.73097915626448 217.57141080364428 238.97021834337525
39.326152289673395 0.390590036396938 37.59703744120718 20.833899084669092 58.894509512691805 186.61534695768472
39.48264219180895 0.234542465166677 16.17627166487191 228.58507145596346 154.165641431633 74.4378948209456
39.50143595596197 0.252555497797703 17.76007544795225 345.56182103851484 333.09512118673155 214.83083468254512
39.40778743340664 0.351678180322131 27.3820063896296 324.39637794367735 76.47676381678968 331.1394230641669
39.47678631397504 0.200789444748967 22.552502325044724 140.48871212631389 92.87658450103758 299.2326896301728
39.553373796911536 0.219903688891414 14.963306976156044 159.47536484204963 44.58252425948891 198.9038825940038
39.24129635671294 0.28115316048809 35.18923946308093 164.7925918856283 125.18080286587256 112.42269891414075
39.52361594416297 0.284319177439226 24.512995799183777 332.60276563574894 296.21142735960683 295.3803113387077
39.429153328760314 0.346929716830421 28.728888473892887 202.70848527067946 164.00903454917372 114.06746451250989
39.4929525219846 0.239444982656094 22.644001984132128 144.65435413225683 209.5684755390114 326.74853533856486
39.43280922848181 0.241327034355146 30.02934543637753 57.4278253441623 220.27567359626806 171.59535573372023
39.43607126653742 0.195081098916523 25.778962773508383 174.7489579629456 241.59661110923537 316.17444708758995
39.40074834479021 0.363152857637694 29.284936149302304 284.2847716793211 116.78975441142633 91.92955581368234
39.267843500629255 0.205646888297367 27.303066232582985 142.57788241879024 201.2874064281138 340.37370162333906
39.44540370927954 0.240138846524792 13.856180980766375 52.742548312539334 90.4707842157893 11.736415651968548
39.42460386260962 0.198755839471577 33.53287645938843 110.27863806145167 309.74436473249875 81.69328136963617
39.28275905815263 0.365200475703466 42.35158336480114 152.04460992316348 124.3232051807365 159.28332920653574
39.31184692209441 0.346105934391785 29.10529475212946 152.71050768891692 291.59837262443403 274.9575085007804
39.31426883477857 0.192621755503884 29.286931308201904 193.50432068846536 85.70354545555598 135.88228703369407
39.36249018506072 0.306267801643869 34.88993803569119 234.8084635692755 15.408359905258829 44.94947898366543
39.420056252740096 0.222031067141741 29.888148829687132 193.19380271089872 169.17424039796512 8.170812489872167
39.443005224730726 0.271880177160419 21.767081827059013 74.11944209460465 331.3568716423685 319.2821970867573
39.50255375066312 0.383059366853305 32.132072447608266 320.68453432667656 264.5487011889936 297.9833217105367
39.378645746268354 0.225596097507608 15.22812984157496 283.9096065579263 67.97067630979151 313.6620230999587
39.399964165294605 0.304935641235753 26.089145351271917 66.12233350717705 86.4779502130507 92.09476000651685
39.34784348520437 0.294758223683122 46.600471501937896 308.3449783856444 159.58837347358926 159.1149707695555
39.48482494034253 0.318568964403179 31.83849437849662 132.13749448599364 322.22399099167484 274.1557663536803
39.40596177172953 0.248740617733799 26.325055456674406 300.2584274400127 29.963436116806214 128.29072468965305
39.32684341750666 0.239910402306308 16.670696775005297 248.035880994983 59.81330739505809 358.7003690136263
39.47903326289637 0.268099096791449 11.231731643262309 16.28550191758372 107.71018830884185 237.22682333316857
39.39611278486879 0.244019184618424 8.703133755635822 20.92507245879694 46.819789534593426 155.19238712936558
39.396154221930466 0.313491941917021 20.360925407771333 194.43107795228295 253.74123661745767 175.3299999857862
39.50383191044919 0.243005258647916 26.8065485629925 292.58584622090046 40.63327180261761 117.30243553731603
39.3012549024758 0.219239134076476 26.704294539766597 331.6171217191146 286.94745601267846 129.08909433632053
39.49759741432432 0.363780809431672 31.592381203393128 192.62344458495517 184.05453880755465 57.414308649957626
39.350970258909065 0.209573046987608 27.87461580275672 39.0566736899828 74.63940866525355 50.89211903920517
39.448699423338184 0.292171909276409 26.88892857080462 295.5978914941041 111.24037704819894 336.07423030685896
39.45951457800667 0.244349894277274 46.59230276140851 220.04107312133618 329.74983280074525 92.58481436812426
