i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
10.0,4.47,0.44,0.17311998821286798,0.013533635439978943
8.37,47.63,7.26,0.09809854830822022,0.10754465045277083
7.48,17.54,3.44,0.12412761327638357,0.03923257944825331
10.0,12.73,1.87,0.16937978373659113,0.038264585041411545
10.0,15.75,2.39,0.16712859789617038,0.04713513946416191
10.0,6.69,0.82,0.17246580675574874,0.020229560230873408
10.0,15.04,2.27,0.16769984217293304,0.045060543075057836
10.0,350.78,1.94,0.17140471195385498,-0.027822910111305825
8.6,35.02,5.44,0.1224622354530024,0.08581270201247344
9.0,48.63,7.55,0.10339051293014026,0.11739737513447952
10.0,2.58,0.11,0.17347215808022987,0.007816647493237808
10.0,349.18,2.21,0.1705610225902856,-0.032597962819812636
10.0,357.98,0.69,0.17354026989541188,-0.00612081135744276
9.08,26.21,4.09,0.14158721787334616,0.06970024590118226
10.0,4.85,0.5,0.17302642292225104,0.014681504615540013
7.87,10.06,2.47,0.13482071254305844,0.02391812961600828
10.0,347.03,2.59,0.16921801592272837,-0.03897374365160542
10.0,3.8,0.32,0.17326640664230183,0.01150834203133967
10.0,15.45,2.34,0.1673731048241258,0.04625941405355241
10.0,9.4,1.29,0.17131645799997453,0.02836125570895558
9.04,5.13,1.09,0.15649458513080935,0.014049366542868029
10.0,358.78,0.55,0.1736088137576727,-0.003697214180908299
10.0,351.67,1.78,0.17181620132222183,-0.02515715743575845
10.0,349.71,2.12,0.17085526028543632,-0.031018859421996992
10.0,7.2,0.91,0.17227890991982997,0.02176388760954518
10.0,7.68,0.99,0.1720905377705734,0.023206387415551227
10.0,7.84,1.02,0.17202506239764517,0.023686863746222
10.0,2.57,0.11,0.17347351970044314,0.0077863707711467705
9.47,7.91,1.14,0.16296572689933067,0.022642354557011815
10.0,348.87,2.27,0.17038215502587778,-0.03352030512664744
6.98,63.36,9.03,0.05448881618527145,0.10862217699419857
7.89,11.56,2.58,0.13448716515733922,0.02750841847709326
6.84,1.16,3.16,0.11907275237056521,0.0024110548648030765
9.21,1.29,0.8,0.16001290808839277,0.003603259066348318
10.0,22.69,3.58,0.16020875140202273,0.06698392031861589
10.0,7.27,0.92,0.17225219174774853,0.021974349709210392
10.0,7.54,0.97,0.17214672788250843,0.022785822047742762
8.19,357.03,1.97,0.1422648359772151,-0.007381091880925882
4.31,34.05,6.74,0.06226777043356256,0.04207924905881282
10.0,6.83,0.85,0.17241586181100296,0.0206509128857523
10.0,15.75,2.39,0.16712859789617038,0.04713513946416191
10.0,358.42,0.61,0.17358215673935196,-0.004787950371594837
10.0,352.14,1.7,0.17201678364221018,-0.023746910376612158
6.85,12.49,3.49,0.11644776687955674,0.025794526356212225
10.0,0.08,0.33,0.17364800839892638,0.00024245851644917013
10.0,6.02,0.7,0.17269056830330193,0.018211458649114682
10.0,14.28,2.14,0.168282777396037,0.0428321892847151
10.0,9.33,1.28,0.17135097994617443,0.02815193205681508
10.0,6.43,0.78,0.17255582955631785,0.019446729626772335
5.53,58.48,8.33,0.05038025973696158,0.08214873195453318
10.0,24.12,3.82,0.15848723092455613,0.07096116713324423
10.0,20.76,3.25,0.16237378494753354,0.061550333621012435
10.0,352.61,1.62,0.1722057910197929,-0.022335065397111064
10.0,18.52,2.87,0.1646554312225217,0.055156854297278686
10.0,2.37,0.07,0.17349964234654858,0.007180787746865268
8.58,23.67,3.75,0.1366392590011428,0.059895130541976496
7.51,25.84,4.35,0.11763122872534576,0.056966505526808944
10.0,359.57,0.41,0.173643287430662,-0.0013032027157350507
7.47,353.59,2.82,0.1291943093044895,-0.014514296485828793
10.0,357.59,0.76,0.17349458693058403,-0.007301911587510964
10.0,5.22,0.57,0.17292800678897055,0.015798546611620657
10.0,12.35,1.8,0.1696298369946299,0.03714038244581071
10.0,359.2,0.48,0.17363125113877972,-0.0024245071721496654
10.0,345.78,2.8,0.168327538880221,-0.0426559405191527
10.0,8.65,1.16,0.17167301827053086,0.026116362781439903
9.6,10.99,1.59,0.16371028644083263,0.03179240467029825
10.0,359.8,0.38,0.17364711974280791,-0.0006061452571240973
7.89,357.66,2.21,0.1371572013013549,-0.0056047132261995355
10.0,4.07,0.37,0.17321025123265738,0.012324709934335763
10.0,344.0,3.11,0.16692134176071197,-0.047863924534553126
10.0,354.16,1.35,0.17274692900079802,-0.017668846250931163
5.84,53.42,7.82,0.060637858092197246,0.08170851623182772
10.0,351.64,1.79,0.1718030055137998,-0.025247116735799376
10.0,359.78,0.38,0.17364689757901516,-0.0006667594984871598
10.0,22.66,3.58,0.16024380213801487,0.06690002603436375
10.0,355.63,1.1,0.17314334517394142,-0.013231463600946729
10.0,7.07,0.89,0.17232784712336113,0.021372943477052462
10.0,10.37,1.46,0.17081178325580254,0.03125738805496285
10.0,1.6,0.06,0.17358047485418812,0.0048485416818221305
10.0,5.41,0.6,0.17287466610359228,0.016371909681441716
10.0,1.29,0.12,0.17360416719311114,0.003909314547604321
10.0,348.17,2.39,0.1699599217520653,-0.035599362425156475
10.0,3.29,0.23,0.17336197911492157,0.009965631159304475
10.0,357.48,0.78,0.1734802485361018,-0.007634983621341248
10.0,30.49,4.9,0.1496357133862456,0.08810699680749061
10.0,351.44,1.82,0.17171382994733342,-0.025846667326060814
7.11,13.82,3.37,0.12019151120758623,0.02956635641776032
10.0,337.64,4.19,0.1605918916722607,-0.06606007823315592
8.44,7.04,1.76,0.14566708373651435,0.017988905745586717
7.43,359.5,2.6,0.12930989279325839,-0.00112847033844392
10.0,336.61,4.37,0.1593784523580264,-0.06893619173559061
10.0,356.67,0.92,0.17335497954519466,-0.0100866582142425
10.0,350.64,1.96,0.17133621614127076,-0.028241647357007172
10.0,350.05,2.06,0.17103632060195348,-0.03000444370408467
